	score
SMAD2	-0.73735464
POLE	-0.74429053
KANSL1	-0.7500056
ITGA2	-0.75459224
JAK2	-0.75734836
FGF2	-0.75975674
YWHAZ	-0.7604829
ITGA1	-0.7678404
ITGB1	-0.775736
APOB	-0.779508
PLCG2	-0.81113243
STAG1	-0.81322
GNAS	-0.81552255
MYC	-0.82227504
MTOR	-0.8223232
ASXL2	-0.8292017
DMD	-0.83148974
OBSCN	-0.83750933
WRN	-0.83757955
CHD3	-0.8519608
MED12	-0.85508263
FGFR3	-0.8552001
ITPR1	-0.85554886
STAT1	-0.8566898
USP9X	-0.8610069
RAD51	-0.8615569
SIN3B	-0.86252517
DICER1	-0.863575
SMAD3	-0.8664665
PRKACA	-0.86952144
FRS2	-0.8697446
FGF9	-0.8759235
SETD2	-0.8789875
SPTA1	-0.8843175
COL4A4	-0.88500834
SHC1	-0.8874275
AGO1	-0.892594
NUP205	-0.894753
SREBF2	-0.89492387
PIKFYVE	-0.8957903
ITGA2B	-0.89696217
HSP90AB1	-0.9017022
ANK3	-0.9032982
HCFC1	-0.9069155
TGFBR1	-0.9076244
LRP1	-0.91028297
CDK1	-0.9119565
ACTG1	-0.912453
NGF	-0.9165605
SMC3	-0.92533016
IGF2R	-0.92609215
POLR2B	-0.9265116
FGFR2	-0.9284666
FANCM	-0.9345342
APP	-0.93514556
EPHB2	-0.9436928
VCL	-0.9523999
HLA-B	-0.9544609
KPNB1	-0.9553892
CKAP5	-0.9590222
RBPJ	-0.96424514
CEP290	-0.9670736
CDKN1B	-0.9676412
ITPR2	-0.97059345
MDN1	-0.9754936
E2F3	-0.9765059
IGF1R	-0.981809
PIK3CB	-0.983878
COL1A1	-0.9840533
JAK3	-0.9852971
CBL	-0.9889027
HERC2	-0.9910165
RASA1	-0.99145967
DNMT3A	-0.99282295
PTK2B	-0.99370766
MYCBP2	-0.99493206
LAMA5	-0.99787396
LYN	-1.0006261
ABL1	-1.0039092
BPTF	-1.0051398
NRIP1	-1.007872
AGO3	-1.0085633
ACVR2A	-1.0093385
CLASP1	-1.0098557
SPTBN1	-1.0127623
ASH1L	-1.0264404
WASL	-1.0267808
NCOA2	-1.028122
DLG4	-1.0294937
EPS15	-1.0299203
FAT4	-1.0349765
MAML2	-1.0379252
TBL1XR1	-1.0387415
PARD3	-1.0422343
TSC1	-1.0433033
CUX1	-1.0434186
SRC	-1.0485351
NFKBIA	-1.0533643
LRP6	-1.0541604
ITGA6	-1.0544056
PDGFRB	-1.0718338
PHC2	-1.0748234
FAT1	-1.0758574
ACACA	-1.0786436
CNOT1	-1.09066
NOS3	-1.0944589
AXIN1	-1.096133
ROCK1	-1.0965196
CTNND1	-1.0971014
YES1	-1.0971617
DNAH9	-1.1013124
VAV1	-1.1067545
TFDP1	-1.1070551
ITGB2	-1.1081321
CDK2	-1.110135
ZFHX3	-1.1105134
TOPBP1	-1.1122358
LAMB1	-1.1158235
COL7A1	-1.1171744
MUC4	-1.1203982
AGRN	-1.1235965
HDAC4	-1.1318531
ITPR3	-1.1336781
NIPBL	-1.1346191
WNK1	-1.1357285
B2M	-1.1359382
HTT	-1.1363966
DNM1	-1.1367033
ARID2	-1.1372085
SOX9	-1.1405087
PARP1	-1.1405545
ROBO1	-1.1416067
VCP	-1.1428686
USP32	-1.1437978
RPTOR	-1.1467081
PTPRD	-1.1493038
IL6ST	-1.1599579
PTK2	-1.1609718
SUPT16H	-1.1709023
TFRC	-1.1714176
RUNX3	-1.1716725
FGA	-1.1717808
LAMA1	-1.1722786
FANCA	-1.1801665
L1CAM	-1.1818522
NOTCH3	-1.1823274
GLI1	-1.1830157
PAK2	-1.1830173
MAP2K1	-1.1887932
BRCA2	-1.1889753
ARID1B	-1.1897473
SNAP25	-1.191321
KIT	-1.1920946
ARID5B	-1.1977894
PDS5B	-1.1985406
PRKAR2B	-1.1986586
TYK2	-1.2005184
PPARGC1A	-1.2019913
LEF1	-1.2115004
ERCC2	-1.2135777
ERBB3	-1.213597
BLM	-1.2175763
PXN	-1.2198328
CYFIP2	-1.222954
KAT6A	-1.223415
EZH2	-1.2236246
FOS	-1.2249198
LCP2	-1.2249494
STAT4	-1.225486
COL5A3	-1.2287755
YWHAE	-1.2294323
TNC	-1.2304494
SLC3A2	-1.2311232
IRAK1	-1.2311677
PLXND1	-1.2351617
ARRB1	-1.2407454
TRPS1	-1.2451442
PCNT	-1.2461793
EP400	-1.2491906
AP2A2	-1.2497185
JUP	-1.2499511
MAPK3	-1.25085
MAP3K7	-1.251292
CLTC	-1.2515198
MAPK14	-1.2531111
SMC2	-1.2557884
TCF3	-1.2569264
RELA	-1.2577852
ZFP36L1	-1.2709242
ATRX	-1.271002
TBX3	-1.2721083
SEC23A	-1.2727966
SMARCA2	-1.273602
ACVR1B	-1.2737886
PTPRF	-1.2751284
MET	-1.2807664
NCOA6	-1.2813094
BMPR2	-1.2823775
NFKB1	-1.2829368
NRG1	-1.2838382
COL4A5	-1.289369
PIK3R2	-1.2959827
CCNE1	-1.2973316
PLEC	-1.2973397
IGF2	-1.3006475
JMJD1C	-1.3016512
RB1CC1	-1.3104837
NUP214	-1.3121164
CCND2	-1.3144726
TUBB4A	-1.3197191
HSP90B1	-1.3202102
PRKCB	-1.3207358
AGTR1	-1.3229734
UBR5	-1.327473
KSR1	-1.3288753
HGS	-1.3309423
PTPN11	-1.3358004
MAPK8	-1.338423
RBL1	-1.3430483
VEGFA	-1.3480203
HLA-A	-1.3481854
TSC2	-1.3483427
JAG1	-1.3487179
RBBP6	-1.3515075
ROCK2	-1.3535222
BRIP1	-1.3545208
STX1A	-1.3560994
GLI3	-1.3590777
DYRK1A	-1.3595712
TCF4	-1.359905
PAK1	-1.3612907
F8	-1.3626904
REV3L	-1.3637615
RBBP4	-1.3649495
ITGA4	-1.3652238
MSH2	-1.3656301
LAMA3	-1.3661011
LPL	-1.3671607
ATF2	-1.3675106
BCL2	-1.3678528
DHX9	-1.370207
LAMA4	-1.3742055
UTRN	-1.3751514
MEF2C	-1.3751874
ASXL1	-1.379804
SRCAP	-1.3808742
COL14A1	-1.3809502
TBL1X	-1.3815987
CHD7	-1.385181
HDAC2	-1.38626
COL1A2	-1.3863721
MSH6	-1.3901827
FASN	-1.3936901
SMARCA5	-1.3980353
FANCD2	-1.4005998
MAML3	-1.4042561
VAV2	-1.4048336
MAP2K4	-1.4063871
VAV3	-1.4068136
PLXNA1	-1.4085025
AKT2	-1.4095476
CHUK	-1.4100513
STAT5B	-1.4124477
AP3B1	-1.4156479
RHOB	-1.4157735
CAV1	-1.4179895
COL5A1	-1.4188385
ENPP1	-1.4202241
KPNA2	-1.4204998
CDK5RAP2	-1.4211594
CYP1A1	-1.4227545
COL6A3	-1.4260634
DNAH1	-1.4273503
ACTL6A	-1.427401
ITGA3	-1.4317288
FGFR1	-1.4332305
EIF4G1	-1.4352318
MCM6	-1.4391342
BTK	-1.4414858
RET	-1.4429357
SF3B1	-1.4435238
RFC1	-1.443966
PRKCD	-1.443989
POLD1	-1.4450338
NTRK1	-1.4468241
RACGAP1	-1.4479504
ACTN4	-1.4518955
FGF1	-1.4542943
CHD9	-1.455641
CHEK1	-1.4577253
TLE3	-1.4582866
MACF1	-1.4619536
NBN	-1.4631094
TFAP2A	-1.46332
CAND1	-1.4645517
SMARCC1	-1.4647472
RAD50	-1.4677656
HSPA2	-1.4680465
PSME4	-1.4684255
UPF2	-1.4700539
AP1G1	-1.4706948
RAP1A	-1.4709711
GON4L	-1.4711546
SYNE1	-1.4723811
IGF1	-1.4729347
TJP1	-1.4761442
KAT2A	-1.4783857
TIAM2	-1.4833063
SMC4	-1.4845561
POT1	-1.4845741
DNM2	-1.485625
RBBP7	-1.4864331
CCNB1	-1.486777
HDAC5	-1.4884126
PPARG	-1.4889235
POLR1A	-1.491948
XRCC6	-1.4922073
IKBKB	-1.4929521
PRKACB	-1.4977958
PPL	-1.5016468
FLG	-1.5017506
HUWE1	-1.5061748
USH2A	-1.5100886
ATF7IP	-1.5121467
CIT	-1.5132198
FBN1	-1.5153809
DOT1L	-1.5154696
BRD8	-1.5154843
SEC24B	-1.5159255
ANK1	-1.5160487
COL4A3	-1.5161659
NUMA1	-1.5172822
DNAH3	-1.5176203
CFTR	-1.5196977
CHAF1A	-1.5208797
PPARA	-1.5214021
RICTOR	-1.5222126
BMP2	-1.52225
DLG1	-1.5223032
MIA3	-1.5227026
KMT2E	-1.5263901
COL18A1	-1.5270909
SDC4	-1.5279568
SPTB	-1.530571
LAMB2	-1.5318325
LIN9	-1.5326211
TGOLN2	-1.5343508
AKT3	-1.5344032
VCAN	-1.5354722
TUBB4B	-1.5387919
PCNA	-1.5397775
PLAUR	-1.5409797
GAB1	-1.5418184
NR3C1	-1.5428752
FOXA1	-1.5448852
TLR2	-1.545344
EIF4G3	-1.5457859
APOA1	-1.5459772
SYNE2	-1.5460503
ITGA9	-1.5460844
MUC5B	-1.5461941
AMER1	-1.5467104
AQR	-1.5467619
TCF7L1	-1.5476749
NGFR	-1.5489442
IRAK4	-1.5493119
MYO5A	-1.5507691
PLXNA2	-1.5519375
TUBA1A	-1.553128
SLX4	-1.55322
PLXNA4	-1.5556929
CCNA1	-1.5559946
ITGB4	-1.5586071
RAF1	-1.5592351
PIK3C2A	-1.5605704
MYH10	-1.5617874
BAP1	-1.5632709
PRKAG1	-1.5635803
FLNA	-1.565388
CIC	-1.5665967
NUP210	-1.5692856
STAT5A	-1.5694592
EPHB4	-1.573835
PPP2R1B	-1.5763028
TRIO	-1.5766319
RARA	-1.5768512
COL3A1	-1.5771148
DOCK1	-1.5771861
ITGAM	-1.5777352
CBLB	-1.5777948
BCR	-1.578963
POLQ	-1.5796484
ASCC3	-1.5803237
FOXO1	-1.5806607
EPHA4	-1.581999
PPP2R5D	-1.5820829
PIK3CG	-1.5828185
PDGFB	-1.5829871
GATA1	-1.5832176
CYFIP1	-1.5852158
PLCB1	-1.5854921
FZD4	-1.5859344
LY96	-1.5864055
LAMC2	-1.5868942
TIMELESS	-1.5876644
RAD21	-1.588315
SIPA1L1	-1.5905294
TF	-1.5905883
RAP1B	-1.5911611
SOX2	-1.5914857
POU2F1	-1.5945655
PTCH1	-1.5960104
TXNIP	-1.5962241
MOV10	-1.599186
MEN1	-1.5998883
HSPA4	-1.6001288
FZD6	-1.6009102
ZNF462	-1.6013762
PCLO	-1.6038891
CDH5	-1.604654
HMGB1	-1.6046827
GSK3B	-1.6050758
KALRN	-1.6067108
MAML1	-1.6071873
PPP2CB	-1.6084856
BIRC5	-1.6111473
PCDHA9	-1.6120371
ZFYVE16	-1.6121906
AP2B1	-1.6130921
PRKCQ	-1.6143332
HIVEP3	-1.6146749
PTPN6	-1.616677
PKD1	-1.6170864
ARHGAP35	-1.6185358
COL9A3	-1.6195011
CLTCL1	-1.6209066
NCK2	-1.6212845
BRWD1	-1.6227306
ALDOA	-1.6241792
PDGFRA	-1.6241858
NLRP3	-1.6246182
IKBKG	-1.6248071
CEP192	-1.6251173
EPHB6	-1.6251475
VCAM1	-1.6262563
TAB2	-1.6305788
NCAPD2	-1.6308836
GAB2	-1.6309502
CENPF	-1.6327937
YAP1	-1.6338434
DDB1	-1.6352495
POU5F1	-1.6367916
CDK4	-1.6380306
QKI	-1.6418822
AP2M1	-1.6426346
LCK	-1.6427507
FGG	-1.6431862
ADAM10	-1.6439584
TLE1	-1.6442026
ZWINT	-1.6456797
COL12A1	-1.6487949
EPHA2	-1.6499096
MYO9A	-1.6501789
CSNK1E	-1.6503271
IL2RG	-1.651008
VAMP2	-1.6528629
TAB1	-1.6542711
DLC1	-1.6543617
VTN	-1.6550086
NTRK2	-1.6557493
MTA1	-1.6557747
MED23	-1.6567628
CACNA1C	-1.6577791
EPHB1	-1.6577857
IDH1	-1.6581872
ADCY6	-1.6601684
TRAF6	-1.6603849
CENPE	-1.661224
LRP2	-1.6618626
PI4KA	-1.662536
ZMYM2	-1.6626298
TNF	-1.6653084
PML	-1.6667693
TRAF2	-1.6673855
CBFB	-1.6682612
ATXN7	-1.6683867
PPP2R5C	-1.6689132
CPSF6	-1.6692082
MAP2K3	-1.6701286
RC3H1	-1.670228
DOCK4	-1.6703243
CUL3	-1.6709034
COL9A2	-1.6723931
NFE2L2	-1.672467
EHHADH	-1.6751715
GNAI2	-1.6751913
TYROBP	-1.6756527
NEB	-1.6761271
SMAD7	-1.6766613
ACTN1	-1.6774089
PSIP1	-1.6790144
SRRM2	-1.6799328
DMXL2	-1.680188
SDC2	-1.6809819
F5	-1.6823797
BDP1	-1.6828445
EIF4A2	-1.6848551
KIF2C	-1.6852849
GRB2	-1.6858991
ST6GALNAC3	-1.6876758
DOCK7	-1.6903694
ADCY9	-1.692449
NIN	-1.6926973
CUL1	-1.693251
SHH	-1.6957352
VLDLR	-1.6959652
CEP135	-1.6965294
CSPP1	-1.6969105
ABI2	-1.6969751
HNRNPA1	-1.6985557
ATIC	-1.699255
AMBRA1	-1.7009062
ITSN2	-1.7030203
OGDH	-1.7044876
ARF1	-1.7049204
DIDO1	-1.7060562
MAP2	-1.7107904
NOS2	-1.7117221
CD3D	-1.71507
AURKB	-1.7161518
UTP20	-1.7161558
CDK9	-1.7163092
ARRB2	-1.7169683
ABCA1	-1.7175071
CDH9	-1.71821
AP2A1	-1.7184114
MAPK6	-1.7190259
SYT1	-1.7208455
LMNA	-1.72275
PDE4DIP	-1.7231066
OGT	-1.723191
WAS	-1.723621
PLXNB1	-1.724234
ARHGAP5	-1.7243725
DSP	-1.7251892
AXIN2	-1.7265936
AOC1	-1.7268807
ESPL1	-1.7277874
TRPM7	-1.7284591
ERBB4	-1.7293587
ZFYVE26	-1.7293857
TG	-1.7302473
DLL1	-1.730418
TAB3	-1.7319599
XRN1	-1.7321169
RAPGEF1	-1.7347853
NUP85	-1.7388427
WWC1	-1.7404114
CBX2	-1.7406311
ANAPC1	-1.7407618
GGH	-1.7412269
FGF7	-1.7419628
RAPGEF6	-1.7449596
SZT2	-1.7461364
HIP1	-1.7463347
KIF1B	-1.7478956
RUNX1T1	-1.7484548
EEF1A1	-1.75019
MED13L	-1.7510618
CCAR1	-1.751436
PCDHA7	-1.7532982
HLA-DRA	-1.7544205
AGO4	-1.7551769
EHMT2	-1.7577372
BUB1	-1.757899
POM121	-1.7602899
IRS2	-1.7606382
PRKCE	-1.7607445
EGR1	-1.7623297
SPTBN2	-1.7625555
RYR1	-1.7626941
TNKS2	-1.7630293
WDR33	-1.7630298
NCKAP1	-1.7635018
JARID2	-1.7654908
YY1	-1.7670292
CCNE2	-1.7679647
MYO10	-1.76802
CDKN2A	-1.7683127
GNAI1	-1.7691847
NRXN3	-1.769367
CEP250	-1.7725761
NANOG	-1.772907
SH3KBP1	-1.7779526
ARHGEF6	-1.7780135
LDLR	-1.7783601
CDC27	-1.7788422
F2	-1.7788594
SLIT2	-1.7799013
ARNT	-1.779941
RIF1	-1.7809417
VAMP3	-1.7815125
RBL2	-1.783375
PLD1	-1.7833903
ITGB5	-1.7837126
AHCTF1	-1.7837502
IL12RB2	-1.785834
CREB1	-1.787557
DYNC1I1	-1.7891197
SMARCD1	-1.7892491
HCK	-1.7893511
NUP133	-1.7907331
TLR3	-1.7928851
CDC20	-1.7937582
THBS2	-1.7939726
PTGS2	-1.794604
LTBP1	-1.7954032
CBX4	-1.7960098
CAPZA1	-1.7966092
POLA1	-1.7975323
CSF2RA	-1.7976029
ITGAL	-1.798507
CALR	-1.7988281
UBE4B	-1.7992865
POLR2A	-1.7998539
PPP1R12A	-1.800539
IRF3	-1.8006719
SUMO1	-1.8009634
PLK1	-1.8013827
IL7R	-1.8038714
INSR	-1.8044298
MORF4L1	-1.8047712
CACNA1D	-1.8048441
TLR7	-1.8055613
PUM2	-1.8062923
ORC2	-1.8065916
SUPT5H	-1.8066454
GNAZ	-1.80697
TUBB	-1.8074591
CHD1	-1.8082383
AP1S1	-1.809048
PTPRB	-1.809523
PLCE1	-1.8106844
HDLBP	-1.8117756
DYNC1I2	-1.8118846
HDAC1	-1.8121078
PAXIP1	-1.8129975
COPA	-1.8130709
NFATC2	-1.8136203
INPPL1	-1.8147697
PDPK1	-1.8162724
IGFBP5	-1.8165522
NFASC	-1.8170465
PLCB3	-1.818129
AGT	-1.81989
ISG15	-1.819973
CUL4B	-1.8204724
ACTN2	-1.8230263
CYCS	-1.8233364
CD4	-1.8236011
PLXNA3	-1.8250971
DNM3	-1.8258946
SMARCA1	-1.8261474
HOOK3	-1.8265845
IRF7	-1.8285248
SETD1A	-1.8287394
CLASP2	-1.8287947
RHOBTB1	-1.8308718
ACVR2B	-1.8313478
RFC5	-1.8316082
EPHB3	-1.831855
NUP160	-1.8320515
NONO	-1.8326712
IL16	-1.8329986
ARFGEF1	-1.8335822
PIK3CD	-1.8337195
RYR3	-1.8345219
NOS1	-1.8351494
STON2	-1.8357437
RAI1	-1.836868
AAK1	-1.8374478
PPIP5K2	-1.8391922
MUC5AC	-1.841307
STAT6	-1.8417717
CASP3	-1.8418968
EFNB1	-1.8424604
WNT5A	-1.8427465
ZEB2	-1.8427896
IDE	-1.8449266
CSK	-1.8460779
DHX15	-1.8461552
MYO18B	-1.8472344
MGA	-1.8476521
GTF3C1	-1.8488781
PLAU	-1.8494476
GNG7	-1.8497013
GRIA2	-1.8501866
MYO9B	-1.8502896
CCT6B	-1.8513482
LMO7	-1.8518461
SI	-1.8519284
MYB	-1.8541054
FZD5	-1.8547621
XPO1	-1.8550313
AURKA	-1.8562241
SEL1L	-1.8571289
NFATC1	-1.8572779
AOX1	-1.8576235
TP73	-1.8580503
ITSN1	-1.8591096
NCBP2	-1.8594459
MAPK11	-1.8619032
DNAH11	-1.86197
CDH2	-1.8629816
NUP98	-1.8630861
TP63	-1.863401
ABCC9	-1.8635082
NCAPG2	-1.8636949
STAG3	-1.8636967
GTF2A1	-1.865935
YWHAG	-1.8663905
CRKL	-1.8663952
STAT2	-1.86649
FZD2	-1.8670048
DDX3X	-1.867717
DVL2	-1.8680607
NCAM1	-1.8691429
ATG7	-1.8707625
WASF2	-1.8709713
FRK	-1.8713328
ACLY	-1.8713818
RALGAPB	-1.8718437
TOP2A	-1.8721569
TYMS	-1.8733734
SUGP1	-1.8738174
LIFR	-1.8744698
CCNB2	-1.875252
PER1	-1.8752968
SYNJ1	-1.8763516
BCL6	-1.8774325
PARD6B	-1.8777001
GRIN2A	-1.8796089
KSR2	-1.8801298
MCM2	-1.8803724
CABIN1	-1.8805468
DNAH17	-1.8811888
DDX6	-1.8818423
CUBN	-1.8820444
SYCP2	-1.8824189
BIRC2	-1.8837303
DNA2	-1.8864119
CAMK2B	-1.8866915
MYADM	-1.887636
ADRB2	-1.8876715
PAPPA	-1.8889306
AKAP13	-1.8923779
TLE4	-1.8925087
MMP9	-1.8926508
AFF1	-1.8960606
ULK1	-1.896362
RUVBL1	-1.897052
BCAR1	-1.8975575
KDM5A	-1.8990066
VIM	-1.8991168
VAMP8	-1.8999029
DYNC2H1	-1.9005953
HNF1A	-1.9010338
RPA1	-1.9010856
CRK	-1.9016428
WNT3A	-1.9016535
GFRA1	-1.9024254
REL	-1.9034634
PAK3	-1.9038204
TUBB1	-1.904241
CSF2RB	-1.9042549
BMPR1A	-1.9051863
RBBP5	-1.9057419
ANK2	-1.906951
MGAT5B	-1.9073899
FBN3	-1.9078287
GPHN	-1.9078928
TGFB1	-1.9079618
TNKS	-1.9079659
MEIS1	-1.9082743
IL6	-1.9085016
CXCL1	-1.9090593
MYH11	-1.9095657
DVL3	-1.9121544
PRPF8	-1.9123504
BAZ1A	-1.9125992
LAMA2	-1.9127754
CXCR4	-1.9129053
BCOR	-1.9137579
GNG11	-1.9138985
GRIA1	-1.9144993
AP1B1	-1.915261
CCT3	-1.9155581
RELN	-1.9161332
CNTNAP2	-1.9167595
COL17A1	-1.9179747
KIF11	-1.9179903
IGLL5	-1.9180262
CEP152	-1.9181315
UPF3B	-1.9183029
MAP1A	-1.9188089
MMS22L	-1.9204394
GPC5	-1.9205427
CDC25A	-1.9207424
TPM3	-1.9209778
PYGB	-1.9213552
TRPC6	-1.9224072
DNAH2	-1.9226916
PPP2R5E	-1.9229943
ELMO1	-1.9238853
CACNA1A	-1.923898
NCKAP1L	-1.9239943
GDNF	-1.9243438
DYNC1LI1	-1.9245045
TNS1	-1.9245293
CD209	-1.9262187
PER2	-1.9263386
COL4A2	-1.926924
NCAPD3	-1.9270742
AFF4	-1.927233
DSN1	-1.9274288
FLNB	-1.9277836
SMAD9	-1.9293201
CSNK1D	-1.9299409
COL6A1	-1.930129
CDC6	-1.9313158
KEAP1	-1.932036
NUP107	-1.9322306
B4GALT1	-1.9325138
NUFIP2	-1.9350878
KCND2	-1.9358393
PRKD1	-1.935989
RARB	-1.9360235
NPHP4	-1.9365078
FOXM1	-1.9382242
SALL4	-1.9384525
BDNF	-1.9405591
MYH7	-1.9413313
PTK6	-1.941803
MARK3	-1.9421974
PRDM16	-1.9423211
RERE	-1.9440387
PABPC1	-1.9451555
IL1R1	-1.9455156
RYR2	-1.9455982
ZEB1	-1.9457138
COL9A1	-1.9459047
KCNAB2	-1.9461699
NELFE	-1.9474056
ANAPC5	-1.9476213
TGFB3	-1.9486618
NTRK3	-1.9502602
APOE	-1.9508221
SDC3	-1.9513216
CTTN	-1.9522622
COL4A1	-1.9531454
CAD	-1.9531462
EPHA7	-1.9538624
CARD11	-1.9542402
EPB41L3	-1.9545147
ACTR2	-1.9548429
GAPVD1	-1.955479
KCNB2	-1.9555225
FLT1	-1.956665
DOCK8	-1.9567196
SLC27A2	-1.956798
TEP1	-1.9580047
MKI67	-1.9580185
CDK12	-1.9583153
HLA-DRB5	-1.9589828
USP48	-1.9595082
IL2RB	-1.9624195
CHST8	-1.9626383
BCL9L	-1.9629723
SYNJ2	-1.9639022
LRRC8A	-1.9645603
SEC24C	-1.9660791
ATXN1	-1.9667149
A2M	-1.9667202
CNKSR2	-1.9670147
ADAM17	-1.967542
STON1	-1.9678081
FURIN	-1.9681654
TERT	-1.9687496
SERPINA1	-1.9693886
SFN	-1.9724432
CDK6	-1.9726102
MARK2	-1.9735978
WNK3	-1.9740041
EML4	-1.9740047
RHOT1	-1.9740229
CAPZA2	-1.974357
SEC24D	-1.9757636
NF2	-1.9760847
DIAPH1	-1.9765238
NOTCH4	-1.9772152
BARD1	-1.9796793
CFP	-1.9805743
THOC2	-1.9818525
RAB3GAP2	-1.9819759
TRPV2	-1.9819992
ERCC3	-1.9822813
ENPP3	-1.9827906
ALB	-1.9842497
KIF23	-1.9854
ITGA5	-1.9859186
ARHGEF12	-1.9882123
CD44	-1.9889809
HECW2	-1.9897019
ABCB1	-1.9907917
CDH6	-1.9908558
LUM	-1.9910109
PKP4	-1.9920864
COL16A1	-1.9922106
TGM2	-1.9928449
CASP9	-1.9932951
SYT2	-1.9933941
GHR	-1.9935894
MGAM	-1.9937357
CPT1A	-1.9941204
ADCY2	-1.9943819
EXO1	-1.994813
CD36	-1.995424
DYNLL1	-1.9955851
LATS1	-1.9957014
MITF	-1.9961812
GATA6	-1.9992664
EPHA3	-1.9997193
RAB5C	-2.0000129
GBF1	-2.0004
UNC13B	-2.0011554
RBM15	-2.0017676
GOLGA4	-2.003382
CADM1	-2.0035083
ITGA11	-2.0051334
DAAM1	-2.005705
PGM1	-2.006289
NPC1	-2.0068126
ASH2L	-2.0068948
CD14	-2.0074253
PTP4A1	-2.007467
HSPA5	-2.0074832
FANCI	-2.0075269
KAT5	-2.0075357
BRD2	-2.0088286
GRIN2B	-2.0088944
AP4E1	-2.009129
HLA-E	-2.0092852
NRP2	-2.0097966
TAOK1	-2.0102448
SORL1	-2.0106316
USP7	-2.0106761
CNTRL	-2.0122106
RXRB	-2.0134287
CTBP1	-2.014008
DNAH7	-2.0142932
SMARCE1	-2.014751
PTBP1	-2.0147882
PBX1	-2.0152376
AHNAK	-2.0153055
EMCN	-2.01544
RGS3	-2.0172095
KIF21B	-2.0176294
FPR1	-2.01817
ORC1	-2.018472
SETX	-2.0185914
STK4	-2.0187652
CNGB1	-2.0189137
POLE2	-2.0191264
CAT	-2.019439
MEGF10	-2.019567
PTPRO	-2.020197
FADD	-2.0209937
ADCY8	-2.0211132
GNG4	-2.0213757
GUCY1A2	-2.021571
FZD1	-2.0215878
DNMT3B	-2.021605
PTPRM	-2.0222116
COL11A1	-2.022693
TBP	-2.0233388
SLC9A1	-2.0235255
PHC3	-2.0237298
HSPD1	-2.0251746
ARHGAP31	-2.0258691
E2F2	-2.0259538
FSCN1	-2.0262103
MAP2K6	-2.0265248
SEC31A	-2.026629
ARFGEF2	-2.0277476
GTF2H4	-2.0286484
EFNB3	-2.02867
ARF6	-2.0286853
DCTN1	-2.0291715
TOP1	-2.0309465
CDON	-2.0312762
MYO1F	-2.0336893
CTNND2	-2.0341861
EXOC4	-2.0348725
PHF12	-2.0367146
SCN5A	-2.0369842
HES1	-2.0375838
KCNH2	-2.038364
