	score
POLR2A	-0.98836535
TAOK1	-0.9892486
MYH9	-0.9912669
FYN	-0.99544686
ZWINT	-0.9989328
ZMIZ1	-0.9989495
PLK1	-1.0038207
BLM	-1.0113497
MAP2K4	-1.0134276
AGO3	-1.0185863
MYCBP2	-1.025627
JAK3	-1.0267497
EIF4G3	-1.0276295
ANAPC5	-1.03208
AMER1	-1.0342215
ITGA2	-1.0349351
EDIL3	-1.0397058
HSPG2	-1.0410938
KMT2B	-1.0435055
IGF2R	-1.0459971
ITGB3	-1.0518376
COL12A1	-1.0529842
EXOC4	-1.060029
MDC1	-1.0658007
CNOT1	-1.0676827
JMJD1C	-1.0689658
NFIC	-1.0764133
RFC1	-1.0767801
ATR	-1.0869875
YWHAE	-1.0927259
PCLO	-1.0935858
FANCM	-1.0954677
RUNX1	-1.0956521
RAI1	-1.1071138
LMO7	-1.1136097
PARP1	-1.1229504
LAMB1	-1.1270283
ZFYVE26	-1.1270756
KMT2E	-1.1284193
MED13L	-1.1297958
HIP1	-1.1355276
STAT1	-1.1355437
SPTA1	-1.1383706
KAT6A	-1.1398941
IGF2	-1.1400981
LDLR	-1.143139
ASPH	-1.1491638
SERPINH1	-1.1501663
WWC1	-1.1530317
NIPBL	-1.1535298
NF2	-1.1544235
LRP2	-1.1554937
ABL2	-1.16464
SPTBN1	-1.1671044
IQGAP1	-1.1673826
ARID2	-1.1708407
SI	-1.1770421
TNPO1	-1.1782455
AFF1	-1.1787314
KIF13A	-1.1792526
SMC4	-1.1885496
DIDO1	-1.1887357
COL4A4	-1.1926006
CIT	-1.195939
ZMYM2	-1.2011324
LRP1	-1.2022296
TCF7L2	-1.206457
SIPA1L1	-1.2098123
ITPR2	-1.2100981
NUP98	-1.2106127
GLI3	-1.214934
DISP1	-1.21523
MCM7	-1.2201637
MET	-1.2203206
CHD3	-1.2209665
ALMS1	-1.2223424
NFE2L2	-1.2257328
SP1	-1.2286988
EGFR	-1.2307109
WRN	-1.2311589
COL7A1	-1.2314159
SSH2	-1.2319657
IGF2BP3	-1.2324983
ARHGAP5	-1.2414055
GPC5	-1.2443103
RNF213	-1.2446865
CUBN	-1.2516266
SIN3A	-1.2524276
NCKAP1	-1.2542633
CLTC	-1.2552129
NUFIP2	-1.2558476
HTT	-1.2563816
HIF1A	-1.2579433
TUBA1B	-1.2584249
DLG5	-1.259717
FLNA	-1.2613945
PLCG2	-1.2621764
YES1	-1.2670251
COL9A3	-1.2678127
NRAS	-1.2707931
NEGR1	-1.2708422
CHD7	-1.2737885
NELFE	-1.2759292
DLC1	-1.276958
PTPRK	-1.2783209
TXNIP	-1.2793214
KDM3B	-1.2867991
AHCTF1	-1.2879487
FBN2	-1.2910045
TRERF1	-1.2922617
NUP205	-1.2945105
XRCC6	-1.2949089
EPHB1	-1.2950999
PBX1	-1.296237
RYR3	-1.296949
BRWD1	-1.2983254
FAT4	-1.2993208
NUP214	-1.2998611
RXRA	-1.3013831
ITGAV	-1.304593
MYO9A	-1.3054911
PTBP1	-1.3062605
EZH2	-1.3093737
CCND1	-1.3096151
PKP4	-1.3099362
DDB1	-1.3102522
PTCH1	-1.3112769
CENPF	-1.3114287
ZNF462	-1.3135029
ACTN4	-1.3145709
EFNB2	-1.3173033
RABGAP1	-1.3178221
COL8A1	-1.3208357
SLC25A6	-1.3213156
CUL3	-1.3218877
CBLB	-1.3250594
CNKSR1	-1.3272797
SMARCA2	-1.3299271
FANCD2	-1.3307562
DICER1	-1.3308673
ITPR1	-1.3416437
TRPS1	-1.3425843
HERC2	-1.3453823
BDP1	-1.3479918
BRIP1	-1.3486114
DAB2	-1.3506569
TAF4	-1.3509998
DNMT3A	-1.3512797
SH3KBP1	-1.353599
CHD8	-1.3556365
CPSF6	-1.355957
SMARCA1	-1.3581791
CTNND1	-1.3581842
HSP90AA1	-1.3582568
GIGYF1	-1.3601984
VDR	-1.3603691
MED15	-1.3611704
MYH10	-1.3635864
PTK2	-1.3648878
RPTOR	-1.3662666
DIAPH2	-1.3665336
EP400	-1.367998
BACH1	-1.3688205
ITGA3	-1.369213
DNMT3B	-1.3707482
DLG1	-1.3721169
BCOR	-1.3722426
TUBB2B	-1.3729986
CABIN1	-1.3746337
DTX4	-1.3753599
HNRNPUL1	-1.3763951
SYT1	-1.3769919
SRCAP	-1.379025
VAV1	-1.3792361
GNB1	-1.3798386
ARRB1	-1.3828148
NCOA2	-1.3860537
PLCE1	-1.3865619
PKD1	-1.3887609
SLC16A1	-1.3889052
DNM1	-1.3894869
NRP1	-1.392382
EPHA7	-1.392568
CPS1	-1.3930925
PTPRF	-1.3932444
COL14A1	-1.3966428
ABI2	-1.3977057
PARD3B	-1.3981203
NCBP2	-1.3983307
RIMS2	-1.4000458
CELF1	-1.4020872
PCDHA9	-1.4031278
ROCK1	-1.4036611
ROCK2	-1.4041939
CCNB1	-1.4045464
G3BP2	-1.4071382
AP2A2	-1.4075304
RFC5	-1.4087597
SND1	-1.4102801
TXNRD1	-1.4114895
CARD11	-1.4115194
AP2B1	-1.4116654
TRIM2	-1.4117292
SMG1	-1.4121696
RC3H1	-1.4124972
DPYD	-1.4127253
MOV10	-1.4135541
PPP3CA	-1.4137806
APP	-1.4167169
TIAM2	-1.4171814
CSNK1E	-1.4172573
PTPRB	-1.4176168
PABPC1	-1.4177622
RERE	-1.4178232
MAGI2	-1.4194733
THRAP3	-1.4197232
ADCY9	-1.4210297
QKI	-1.4220651
COL25A1	-1.4221774
CDC20	-1.4257256
MED14	-1.4272918
KPNA2	-1.4279733
HIVEP3	-1.4302393
RPL28	-1.4318007
CTNNA1	-1.4339417
SLC3A2	-1.4341656
YWHAG	-1.4370722
UTP20	-1.4386259
ACVR2A	-1.4405705
E2F3	-1.4439222
PRKCA	-1.4439468
HNRNPH1	-1.4478455
ARHGAP35	-1.4485029
NCOA3	-1.4508151
MPRIP	-1.4512109
CBX2	-1.451706
TJP1	-1.4528131
POU5F1	-1.4541917
GOLGA4	-1.4554399
TUBB	-1.4565433
JARID2	-1.4571692
MYOM2	-1.457486
ACVR1B	-1.459343
BCL9L	-1.4596986
LRRC4C	-1.4601685
ITGA2B	-1.4611331
SREBF2	-1.4650227
RAPGEF1	-1.4653367
CCNE2	-1.4663159
AGO2	-1.4673501
NFIB	-1.4674572
RACGAP1	-1.4685841
HDAC4	-1.4715263
ORC6	-1.4727043
RUVBL1	-1.4732014
TLN2	-1.4740318
TLE3	-1.4741964
RAPGEF6	-1.4781861
ABL1	-1.4822096
ADAR	-1.4845089
ANK1	-1.486185
COL3A1	-1.4877734
UTRN	-1.4894258
FRAS1	-1.4899826
DYNLL2	-1.4916722
NACA	-1.4941155
KIF1A	-1.4964461
ERC1	-1.4966666
TYK2	-1.498037
REL	-1.4984517
SPRED1	-1.500717
RPL8	-1.5033871
VWF	-1.5034914
CHD1	-1.5049591
RAP1B	-1.5057688
APBB1IP	-1.5082101
POGZ	-1.509066
FOXN3	-1.5113541
KNTC1	-1.5138
EIF3A	-1.5138718
LRP8	-1.5151774
WASF2	-1.5152947
MEIS1	-1.515893
TSC2	-1.5174557
TNC	-1.5177749
TLN1	-1.5201155
CDC42BPA	-1.5225495
LRRFIP1	-1.5236076
PPP2R1A	-1.5241779
GRIN2A	-1.5246302
POLQ	-1.5247402
NUMA1	-1.525623
MDM4	-1.5266342
SUPT5H	-1.5270352
CUL4B	-1.5278443
POM121	-1.5280429
CEP192	-1.528472
RIF1	-1.5302631
PLCB1	-1.5310875
PCDH15	-1.5322838
MYO10	-1.5336112
RPL13A	-1.5379094
DHX9	-1.5383453
CHD9	-1.5395361
PDE4D	-1.5403913
PTMA	-1.5414478
MAP1B	-1.5424905
TAF15	-1.5425574
SMC3	-1.5446316
MEF2C	-1.5461537
LYN	-1.5461668
COL5A3	-1.5463525
PRMT5	-1.5464659
VCAN	-1.5469507
AKAP13	-1.5477992
AP1B1	-1.5482854
HLA-DPB1	-1.548612
BCL2	-1.5487405
B2M	-1.5500365
NTRK1	-1.5508432
CENPL	-1.5510726
ILF3	-1.5517613
XPO6	-1.5527397
RPS4X	-1.5532494
CSDE1	-1.553285
BAZ1B	-1.5548948
TFDP2	-1.5550586
HERC1	-1.556642
CUL5	-1.557477
MATR3	-1.5606159
CEP290	-1.5616194
VMP1	-1.5629629
FGFR2	-1.5648218
CASP8	-1.5661606
HNRNPF	-1.56676
POLR1A	-1.568468
USP32	-1.5687014
RBBP5	-1.5690098
CFTR	-1.5704937
L1CAM	-1.5733768
BAP1	-1.5753177
ABCC1	-1.5759925
CUL1	-1.5769577
SH3PXD2A	-1.5771767
RUNX3	-1.5799524
G3BP1	-1.5821432
ASXL2	-1.5832251
AMBRA1	-1.5842676
CHEK1	-1.5847563
TEAD1	-1.5850028
EPHB4	-1.585169
FNBP1	-1.5856743
LTBP1	-1.5872927
KIF2C	-1.5880071
GATAD2B	-1.5887527
CHUK	-1.5891261
FOXK2	-1.5904793
ARFGEF1	-1.5905724
SETD1A	-1.5908552
EPS15	-1.5910783
TNIK	-1.5922478
GLI1	-1.59625
NRIP1	-1.5966196
KANK1	-1.5968137
RALGAPB	-1.5979663
TKT	-1.5982021
DROSHA	-1.5982231
EXT1	-1.598926
SMG7	-1.5994204
HMGA1	-1.599751
RPL22	-1.601134
SNRPN	-1.6017585
ZEB2	-1.6041018
TPM3	-1.60719
LCP1	-1.6092545
HLA-B	-1.6099218
PLXNA1	-1.6103636
SMC2	-1.613464
TGFBR1	-1.6135246
RB1CC1	-1.6136761
ASXL1	-1.6146783
SETX	-1.6161946
CALR	-1.6162821
EPHA5	-1.6164299
WWTR1	-1.6164511
SKI	-1.6165472
PTPRJ	-1.6173286
TCF3	-1.6179047
HDAC2	-1.618054
ELL	-1.618131
MUC4	-1.6187395
SALL1	-1.6199675
CNTN5	-1.6201617
FANCG	-1.6209923
BAZ1A	-1.621934
GNB2	-1.625342
ERCC3	-1.6261066
PRKCE	-1.6272281
U2SURP	-1.6272917
DYRK1A	-1.6274432
YAP1	-1.6276966
ACIN1	-1.6286979
MYC	-1.6300216
NR3C2	-1.6301161
TUBB3	-1.6302723
NFASC	-1.6308498
ORC1	-1.6312228
RHOBTB3	-1.6318535
DNAH1	-1.632393
FADD	-1.632948
SEC24B	-1.6337132
EIF3L	-1.6342796
COL4A1	-1.6349171
LAMC2	-1.635444
BRCA2	-1.6373764
RSF1	-1.6379744
MLLT1	-1.638398
PDE1A	-1.6385754
DOCK4	-1.6410111
FLNB	-1.6411959
KRT8	-1.6419264
EIF4G2	-1.6421171
ANKFY1	-1.6453629
FGF9	-1.6455041
SEC23A	-1.6463264
CDK1	-1.6468297
CCNA2	-1.6472613
FRS2	-1.6482372
CCNE1	-1.6483583
ERBB3	-1.6496873
TLE1	-1.6501474
TPI1	-1.6507082
STARD8	-1.6514009
ESRRG	-1.651639
ZNF521	-1.6526679
SMCHD1	-1.653329
MMS22L	-1.6543046
ZNRF3	-1.6544061
EIF4G1	-1.6546183
CREB3L2	-1.6554283
FZD4	-1.6571842
NCAPG2	-1.657568
KDM5A	-1.6578598
SMARCC2	-1.6589857
TNKS1BP1	-1.6590759
REV3L	-1.6599423
FAF1	-1.6605902
MAP3K4	-1.663118
PDE7B	-1.6635371
JAZF1	-1.6636118
AFF4	-1.663752
C9	-1.664024
NUP107	-1.6645149
LRP6	-1.6651955
PRKAR2B	-1.6677493
HSP90B1	-1.6680304
COL6A3	-1.6681036
SLX4	-1.6688055
ARHGAP21	-1.6699848
CNTRL	-1.6714196
RBBP6	-1.671425
NES	-1.672028
IGFBP5	-1.6728846
LAMA2	-1.6733398
ATP2B3	-1.6737338
GNG11	-1.6745423
PPRC1	-1.6759261
CSGALNACT1	-1.6767153
KRT6A	-1.6769813
RMI2	-1.6776079
MED23	-1.6779919
MCM6	-1.6782718
MSH3	-1.6794386
COL11A1	-1.6795726
AKT2	-1.6803417
IGFBP2	-1.6803674
SLC7A5	-1.6827747
CGNL1	-1.6836214
PDGFRB	-1.684481
LMO2	-1.6856828
TPM4	-1.6865762
NEDD4L	-1.68705
FBN1	-1.6872896
CHTF18	-1.68752
RUNX1T1	-1.6900676
AQR	-1.6914502
RAB11FIP1	-1.6920496
WDR62	-1.6925932
NUP160	-1.6941715
PPP1R12B	-1.6945977
NPLOC4	-1.6946567
RHOB	-1.696673
DDX5	-1.69722
SOX4	-1.6977812
CHRM2	-1.6984597
CKAP2L	-1.6994251
CACNA1A	-1.700786
HLA-DRB5	-1.7013674
ITGB8	-1.7015642
KIAA1549	-1.701717
EHMT1	-1.7019081
PER1	-1.7030125
SPTBN2	-1.703056
DEPDC1	-1.7032541
GTF3C1	-1.7045857
ATF7IP	-1.7050375
LEF1	-1.7052289
SMARCA5	-1.705582
COL1A2	-1.7055821
WDFY3	-1.7060615
LMNB1	-1.7063402
CCNF	-1.7065787
TAF3	-1.706611
NFKB2	-1.706817
LRRK2	-1.707049
SRRM1	-1.7082758
PLXNA2	-1.7108904
CHAF1A	-1.712906
PRC1	-1.7146239
STAG3	-1.7149429
HIF3A	-1.7150306
GRB10	-1.7155362
ANKRD27	-1.716705
KDM4A	-1.7182298
RPL11	-1.7184461
EML4	-1.71868
CAV1	-1.7193421
ATP1A1	-1.7199941
IL2RG	-1.7207141
GTF2I	-1.7207621
ITGA6	-1.7209806
HNRNPR	-1.722282
PPL	-1.7242855
MSLN	-1.7254511
DDX6	-1.7275171
MYLK3	-1.7275485
SEC16A	-1.7296335
ARFGEF2	-1.7299857
HCFC1	-1.7311777
HMGB2	-1.7314793
PPP2R5E	-1.732225
RCC2	-1.7322965
ANK2	-1.732412
CEP170	-1.733246
PALLD	-1.7341322
MTHFD2	-1.7355846
NUP155	-1.7359085
SEL1L	-1.7365485
IGF2BP2	-1.7375025
IGF1	-1.7393975
TBC1D4	-1.7397909
CDH5	-1.7399882
XIAP	-1.7410579
MARK3	-1.7413015
CNBP	-1.7424679
PMS1	-1.7426882
SHC1	-1.7428589
SESN3	-1.743131
DMXL2	-1.7433848
SUGP1	-1.7436489
POLR3A	-1.7437525
SUPT6H	-1.7441206
TUBB1	-1.744203
TCF7L1	-1.7442814
MAGI1	-1.7444153
NCAPD2	-1.744656
CDK6	-1.7447692
JAK2	-1.745614
DDX21	-1.7458926
EIF4A2	-1.7467322
LAMA4	-1.7467705
PDE3B	-1.7469616
WIPF1	-1.74858
ANTXR1	-1.7487572
KSR2	-1.750814
PLCB4	-1.7519666
CENPJ	-1.7523079
RBL1	-1.7524666
DNAH8	-1.7530832
NCKAP1L	-1.7535167
RPS27	-1.7543921
HIPK2	-1.7545573
CDKN2A	-1.7556866
ATAD2	-1.7566463
CASZ1	-1.7571231
NCK1	-1.7580233
TGFBR3	-1.7581688
RASA1	-1.7595657
CENPH	-1.7602366
SYNCRIP	-1.7604362
DYNC2H1	-1.761261
ZNF208	-1.7621158
GMIP	-1.7623619
AP2A1	-1.7629055
PIK3CB	-1.7629801
IL12RB2	-1.7647375
HSPA4	-1.7654265
COL9A1	-1.7657725
CDK7	-1.7658248
SIN3B	-1.7682375
EPC1	-1.7692496
SLC25A12	-1.7693548
KAT6B	-1.769494
CAD	-1.7697862
SLIT3	-1.7698307
PMEPA1	-1.7699503
CEP350	-1.770401
GNAQ	-1.7722982
TNKS2	-1.7723545
EIF5A	-1.7727705
TBL1X	-1.7731158
ATP2B1	-1.7731571
STC2	-1.7739915
TRIM71	-1.774264
ATP2B4	-1.7747654
GAB2	-1.7758812
ASCC3	-1.7761359
CDKN1A	-1.7770466
EBI3	-1.7773547
CEP152	-1.7779936
EPHB3	-1.778149
SYT2	-1.7796656
MKI67	-1.7796669
CAPRIN1	-1.7800503
PKD2	-1.7803372
MBD5	-1.7812939
AR	-1.7818054
KRT7	-1.7819375
TG	-1.7844869
PHC1	-1.7846457
GATA2	-1.7861122
IGFBP3	-1.7886195
LIFR	-1.7889522
NHS	-1.7904968
KHSRP	-1.7915167
SYK	-1.7920289
AP1G1	-1.7928858
F11R	-1.792954
SCRIB	-1.7931954
SPECC1	-1.7934066
NAA25	-1.7960196
RABEP1	-1.7972494
ESPL1	-1.7973026
CEP135	-1.7977414
TLE4	-1.7979757
SPRY2	-1.7979902
F8	-1.7982186
ZNF318	-1.798543
ZFP36	-1.7986922
CAND1	-1.7992457
TRPM7	-1.7997788
COL6A2	-1.8002638
DGKD	-1.8020741
MED24	-1.80238
NCOA1	-1.8037778
FGG	-1.8045688
PPP2CB	-1.8051834
DAPK2	-1.8053755
ZFR	-1.8055226
NDE1	-1.8061339
HNRNPK	-1.8062773
MDM2	-1.8067865
PXN	-1.8080164
CD4	-1.808506
ITGA1	-1.8089724
NCAPD3	-1.8091654
NUP85	-1.8092047
SLC4A1	-1.8104767
PCDHB16	-1.8105067
MYADM	-1.8111359
DIAPH1	-1.8125702
AAK1	-1.8126799
UPF2	-1.8142748
THRA	-1.8147527
CRNKL1	-1.8152323
EPHB2	-1.8152844
TRAF3	-1.815884
ABCA1	-1.8198406
AP3B1	-1.8203007
PPFIA1	-1.8207717
KAT5	-1.8212782
PROC	-1.8219296
GREM1	-1.8219485
ERCC6L	-1.8223839
C2CD3	-1.8225769
NFKBIA	-1.8242935
RFC2	-1.824325
GRM8	-1.8244182
HDLBP	-1.825029
ATXN7	-1.8256875
SLCO3A1	-1.8272253
GULP1	-1.8289121
BCR	-1.829779
MUC13	-1.8298284
DOCK7	-1.8300432
PDE7A	-1.8301324
SALL4	-1.8301697
GANAB	-1.8309346
GABRB3	-1.8314166
RICTOR	-1.832161
MAGI3	-1.832304
GRIK2	-1.8323773
CCNB2	-1.8328584
MYO9B	-1.8328663
BTK	-1.833783
RPL3	-1.8338369
SUPT16H	-1.8346173
ADCY2	-1.8357493
UNC5B	-1.8373928
TCF12	-1.8380632
FOXF1	-1.8398789
NRXN3	-1.8410816
ARNT	-1.8413938
FSTL1	-1.8420993
TFDP1	-1.842235
HDAC1	-1.8427639
SV2A	-1.8433348
PPP2R1B	-1.8436127
MAP2	-1.8439265
STRN3	-1.8440491
ASPM	-1.8440832
NOLC1	-1.8442911
KCNMA1	-1.8447174
GNA13	-1.8450708
SNRPA	-1.8456813
ARHGAP10	-1.846253
GTF2IRD1	-1.846487
FGB	-1.8466444
ITGB4	-1.8474087
KDM6A	-1.8481808
ATXN2L	-1.8485419
PPARGC1B	-1.8488368
HLA-F	-1.8494563
NONO	-1.8498988
ARHGAP17	-1.8515822
MTUS1	-1.8517343
OGDH	-1.8517374
FEN1	-1.8517742
PPP1R16B	-1.8518729
TNS1	-1.8521913
RFC3	-1.8526783
HNRNPU	-1.8529216
ATIC	-1.8532872
TAF12	-1.8534136
IRF4	-1.8534884
PTPRS	-1.8537022
ITCH	-1.8543549
CPT1A	-1.854623
RAD50	-1.854909
PPARGC1A	-1.8549217
UST	-1.8555293
B4GALT5	-1.8556408
BPTF	-1.8575611
PML	-1.8604364
DOCK1	-1.8611989
BAZ2A	-1.8612808
STON2	-1.8622063
LIMK1	-1.8626112
SBF1	-1.8628479
MAN1A1	-1.8664823
EIF4A3	-1.8669564
GNPTAB	-1.8669704
TOPBP1	-1.8680019
PLXNB1	-1.8682995
MTMR12	-1.8688473
SRGAP1	-1.8698072
SLC25A25	-1.8699573
HPS3	-1.8701206
EFNA5	-1.8708916
CENPI	-1.8712778
ATXN1	-1.8722807
EWSR1	-1.8729995
ELMO1	-1.8734523
YWHAB	-1.8737715
NID1	-1.8738827
PHF19	-1.8746868
NDUFS1	-1.8754295
MIA3	-1.875511
COL9A2	-1.8760077
SLITRK5	-1.8764372
MEN1	-1.8767277
CGN	-1.8769058
NEDD4	-1.8782696
ATP7A	-1.8785218
SSH1	-1.8788533
POLR2C	-1.8798009
SLK	-1.8798562
PRPF4B	-1.880599
ADD1	-1.8806577
GNAZ	-1.8811159
ITGA11	-1.8812784
IP6K1	-1.8817024
EIF3I	-1.8817811
CNTLN	-1.8820143
ABCB4	-1.8821937
UNC13A	-1.88346
DYNC1I1	-1.8843794
TLL1	-1.8846421
CYFIP2	-1.8855537
KIAA1549L	-1.8861284
GRIN2B	-1.8870888
CNTNAP2	-1.8872908
CFH	-1.8880402
CCNL2	-1.8880955
FMNL2	-1.8887602
ROBO2	-1.8890322
CD163	-1.8891687
LMNA	-1.8892422
YWHAQ	-1.8893725
CEP250	-1.8896164
MCC	-1.8903894
NIN	-1.8905687
CCT8	-1.8914827
CD1D	-1.8920463
MALT1	-1.8922933
BRD8	-1.893042
HEG1	-1.8931541
DBH	-1.894516
ADAMTSL1	-1.8948921
DOCK5	-1.8949413
PCDHB7	-1.8951424
TRIM33	-1.8968815
TRAF6	-1.896912
POU2F2	-1.8973861
PLXND1	-1.8973957
CORO1C	-1.8975483
NTM	-1.8977741
BSN	-1.8979849
MFGE8	-1.8981014
FOXM1	-1.8981743
DOCK2	-1.8982388
SYNJ2	-1.8982944
DNAH11	-1.8991147
TUB	-1.8996321
EBF1	-1.9002479
USP48	-1.9003544
FUS	-1.9009057
FGD5	-1.9014753
KAT2A	-1.9021
RPL27A	-1.902277
ZNF207	-1.9027804
GLG1	-1.9032408
DHX15	-1.9032435
IRF3	-1.9033314
BRD3	-1.9034313
TCF4	-1.9041001
DNAH14	-1.9047675
NUP188	-1.904776
SLC2A3	-1.905043
RYR2	-1.9054861
AURKA	-1.9057846
CDC37	-1.906504
HSPA1A	-1.9066688
SMARCAD1	-1.9069687
MSN	-1.9077259
FSCN1	-1.9085461
PCDHA12	-1.9093367
CLSPN	-1.9101392
MBNL1	-1.9102057
BIRC5	-1.9103369
EZR	-1.9107862
PAX5	-1.9114686
TEK	-1.9125619
LDHD	-1.9126377
MBD1	-1.9128166
IGF2BP1	-1.9130675
CCND2	-1.913662
RPL23	-1.9143152
DACH1	-1.915412
EPHA3	-1.9157043
MAPK1	-1.9162841
POT1	-1.9170805
SYMPK	-1.9175881
BUB1	-1.9179155
NBN	-1.917993
MYO18A	-1.9180051
LPP	-1.9182276
CLTCL1	-1.9182415
LBR	-1.9186306
HOOK3	-1.9190754
HS6ST3	-1.9193379
KCND3	-1.9202851
OSBPL1A	-1.9205126
ITPR3	-1.9206196
SGK1	-1.9207214
ITGB2	-1.9209709
EIF4A1	-1.9226297
GNAI2	-1.9230231
CDON	-1.9231302
IL16	-1.9235296
CDCA7	-1.9247689
UGGT1	-1.9253663
IQGAP2	-1.9257225
GRB2	-1.9258131
PDE4B	-1.9258364
CACNA2D1	-1.9258553
CAPN1	-1.9263482
GRAP2	-1.9272829
ADNP	-1.9277853
ALPL	-1.9281598
MSH2	-1.9283766
MPP6	-1.9286407
UBR1	-1.928769
RUSC1	-1.9290038
SERPING1	-1.9291803
CDH13	-1.9296154
EYA1	-1.929843
IRS4	-1.9300939
HOXB3	-1.9303261
SERBP1	-1.931029
DNAJB4	-1.9315872
MCM2	-1.9318838
FZD6	-1.932373
RPL41	-1.9325724
NUF2	-1.9340621
ATP11A	-1.9349623
MTMR4	-1.9349661
NEK8	-1.934996
PTPRM	-1.9354757
F10	-1.9361653
MYOF	-1.9368259
BARD1	-1.936958
TAB3	-1.9380583
NPR1	-1.9380852
AP4E1	-1.9385103
KCNN3	-1.939168
TYMS	-1.9392065
SHPRH	-1.9396509
MGA	-1.9401875
SYT7	-1.9404434
IQSEC1	-1.9413904
SEC61A1	-1.9416294
PAK3	-1.9420713
TGFBI	-1.9428486
CAP2	-1.9464315
WNT5A	-1.946613
IPO5	-1.9467486
PAPOLA	-1.9472265
LTBP4	-1.9473047
UBE4B	-1.9478918
CSNK1A1	-1.9484018
TUBA1A	-1.9488791
PYGO1	-1.9493529
NGFR	-1.9494504
