	score
APOB	-0.3698596
ITGAV	-0.37543058
IRAK4	-0.38007984
SYK	-0.3832511
FN1	-0.38509154
ITCH	-0.39164853
CREB5	-0.39253035
ACTB	-0.40881982
VAV1	-0.42343095
GLI1	-0.42361042
FGFR1	-0.42720202
E2F1	-0.42889822
PDGFRA	-0.429134
NFKB2	-0.4337199
CSNK1E	-0.43761954
APP	-0.4425517
FLG	-0.4571167
CPT1A	-0.47456303
IL6ST	-0.47729287
TBL1XR1	-0.4963063
MED13	-0.4976829
IRS1	-0.5031257
FANCD2	-0.5072889
RASA1	-0.5097446
RBPJ	-0.51031727
CLTCL1	-0.5151444
FGFR2	-0.51797426
PRKCE	-0.52022696
CHD4	-0.54210526
PRKCA	-0.55114615
NUP214	-0.55262816
IRAK1	-0.5540698
YAP1	-0.55477697
NR3C1	-0.5572908
PTK2	-0.55798745
MAPK10	-0.55936533
TLR4	-0.5631282
CDC42	-0.57056826
CHUK	-0.57356054
RXRB	-0.5809023
MYH9	-0.5852167
FYN	-0.5853674
GNA13	-0.59016854
KIT	-0.5921053
FANCA	-0.59535724
LRP6	-0.5966093
CCNB2	-0.6150904
GNAI2	-0.6157594
NOTCH4	-0.6220853
RHOB	-0.6229355
PRKD1	-0.62327564
SMARCA2	-0.62607956
ZFHX3	-0.62852186
PRKCQ	-0.6350775
NUP205	-0.6419216
HSPA8	-0.64846414
EIF4A2	-0.64873093
VEGFA	-0.6582505
JAK3	-0.673806
CTNNA1	-0.674882
STAG1	-0.677053
MUC5B	-0.68071324
DYNC1H1	-0.680904
AR	-0.68135077
FAT3	-0.68174106
GRIN2A	-0.69363755
LEF1	-0.697396
AXIN2	-0.6979863
AXIN1	-0.6980205
BLM	-0.7008098
NUMA1	-0.7048897
ROCK1	-0.71100444
RYR2	-0.71135044
RXRG	-0.7192674
FLT4	-0.7327585
TGFA	-0.7327907
PLCG1	-0.7341288
BCL2	-0.7342048
C3	-0.7384494
AURKA	-0.74007344
NFKB1	-0.7416758
PIKFYVE	-0.74209446
LAMA3	-0.75132006
RPL22	-0.7546937
MST1R	-0.7565116
PIK3CG	-0.759887
FAM20C	-0.76653916
HLA-A	-0.77081233
CTNND1	-0.7751541
SMARCA4	-0.77517563
MAPK12	-0.77527255
KLF2	-0.77719754
ANAPC5	-0.77818245
ABL1	-0.78017
ESPL1	-0.78582716
GNG4	-0.7886839
TRRAP	-0.7889498
TRAF6	-0.7943306
NFATC2	-0.80055207
SUMO1	-0.8026004
CACNA1C	-0.8029892
COL1A1	-0.8081959
FANCM	-0.80849904
COL5A3	-0.8085403
NFATC1	-0.80963373
AKT3	-0.8098421
PRLR	-0.8107438
MET	-0.8152191
KMT2B	-0.81641537
CSF1R	-0.8170597
MED12	-0.81757337
TYK2	-0.8236516
BIRC3	-0.8251819
PLG	-0.8256626
IGF1	-0.8271702
MAP2K4	-0.82975596
LIFR	-0.8320393
GNG2	-0.83300096
COL4A5	-0.83616084
PRKCI	-0.84017897
ITPR2	-0.84137887
ITGA2	-0.8515723
TP53BP1	-0.85323864
CREB1	-0.8643954
GNAI1	-0.86677986
CKAP5	-0.8693258
RET	-0.87384987
BMPR2	-0.88051313
ACTL6A	-0.88581055
ITGB1	-0.8872449
PIK3R3	-0.8888312
NOTCH3	-0.8893438
MAPK13	-0.8920798
MEF2C	-0.89255524
TNF	-0.8943248
PRKCZ	-0.8947738
AP2A2	-0.8951893
FAT4	-0.89541215
H4C1	-0.8998067
PRKDC	-0.9006762
DNMT3A	-0.9013531
HSP90AB1	-0.9079158
MMP9	-0.90802383
STAT4	-0.9165306
GNB5	-0.91837996
EP400	-0.92238384
FGF18	-0.92270976
EPHB1	-0.9238829
MAPK1	-0.9253276
HIVEP3	-0.9269986
RAC2	-0.92777747
IGF2R	-0.9322
ARF6	-0.9334337
SPRY4	-0.93367547
DHX9	-0.93368435
ERBB4	-0.934206
DAXX	-0.93437403
BRCA2	-0.9388034
HDAC1	-0.9392769
TLN1	-0.9397246
WRN	-0.94169265
PARP1	-0.9431872
NRP1	-0.9438033
THOC2	-0.9440739
SOCS3	-0.9514923
TFDP1	-0.95481914
DVL2	-0.96038145
PIK3CD	-0.96184015
SMC3	-0.96637416
USP9X	-0.96902984
KAT2B	-0.9701509
NUP210	-0.9721143
CLASP1	-0.9722042
TRAF2	-0.9725726
EPAS1	-0.97660106
GRAP2	-0.9792904
TEK	-0.9808238
RARA	-0.9824913
KDM6A	-0.98252994
NTRK1	-0.995346
IKBKB	-0.99712706
PIK3R2	-0.9972034
IL4R	-1.0001433
AURKB	-1.0004622
MAPK3	-1.0027423
NGFR	-1.0058563
PRKCH	-1.0074264
SIN3A	-1.0074494
NLRP3	-1.0095855
MDC1	-1.0104232
IL12RB2	-1.0149313
FLT1	-1.0161424
CHEK1	-1.0166115
PPARA	-1.0179396
GAB1	-1.0189099
TAF1	-1.0203661
MAP3K7	-1.021124
COL9A3	-1.0274594
COL4A4	-1.0284148
ATF2	-1.0293547
HES1	-1.0296725
GATA4	-1.0305512
SNRPD2	-1.0308275
SMAD9	-1.0355878
EPHB2	-1.035872
KANSL1	-1.0388376
GOLGA4	-1.0459636
PRKCD	-1.0473713
RAP1A	-1.0477943
PLCB3	-1.0541154
GNA15	-1.055956
GHR	-1.0560576
AHRR	-1.0585326
MED13L	-1.0616136
LMO7	-1.0657874
CDK1	-1.0663189
CUL3	-1.0668663
PPARGC1A	-1.0675148
YWHAZ	-1.0743521
COL2A1	-1.0790368
MYL3	-1.080976
MAPT	-1.0826197
CALM3	-1.0833837
ALMS1	-1.0863293
LRP2	-1.0878009
F2	-1.0882958
NOS3	-1.089429
TSC2	-1.0906237
PLCB4	-1.0915763
ESR2	-1.0934929
ATRX	-1.0950283
MYH3	-1.0991031
PDS5B	-1.0993357
ALDH3A1	-1.0994018
ITPR1	-1.1021088
HLA-DRA	-1.1037067
ACACA	-1.1043078
WNK1	-1.105152
FGF2	-1.105244
PIK3CB	-1.1060673
COL4A1	-1.1130804
BTG2	-1.1148801
PLCB1	-1.1164833
RAF1	-1.1167697
STAT2	-1.1180533
BTK	-1.1196969
AP2B1	-1.1200981
EFNB1	-1.1273847
HERC2	-1.1288265
YES1	-1.1299756
PLEC	-1.1310453
GNA14	-1.1316768
ACVR2A	-1.1372294
CRK	-1.1401354
CREB3L1	-1.1404182
TAF4	-1.14069
IRF3	-1.1444767
AQR	-1.145521
CBL	-1.1464001
SZT2	-1.1481127
OSMR	-1.148162
PAK1	-1.1487349
ACTG1	-1.1490209
SMC1A	-1.1547065
MYLK	-1.1555763
AMER1	-1.1584059
CREB3L2	-1.1594123
GOLGB1	-1.1594576
PPARG	-1.1604584
BCL9L	-1.1614897
SPEN	-1.1661118
INSR	-1.167298
PAK2	-1.1695443
RAB3GAP2	-1.1705216
TP73	-1.1741674
LAMA5	-1.1749506
PRKACB	-1.1768749
CD14	-1.1784185
NUP133	-1.1797532
ZMYM2	-1.1808709
RBL1	-1.180886
IL2RG	-1.18156
CAMK2B	-1.18234
CASP3	-1.1826094
SMC4	-1.1853682
PCF11	-1.1855642
GSK3B	-1.1863278
FGF7	-1.1898104
RAC3	-1.1954557
LCP2	-1.1960319
ITPR3	-1.1964495
MADD	-1.1978592
EGR1	-1.1989036
VCL	-1.2028106
MDM2	-1.2034086
PCNT	-1.2035416
PPP1CC	-1.2076341
PCDH15	-1.2107171
RBBP6	-1.2135152
MSH2	-1.2145209
MALT1	-1.2191613
IL6	-1.2235397
IL12B	-1.2243809
LYN	-1.2246805
SLX4	-1.2256366
GNAZ	-1.2267483
FGF23	-1.2275286
CIT	-1.2281811
ATF7IP	-1.2285663
STAT1	-1.230583
BAMBI	-1.2337209
NRG1	-1.2387587
DYRK1A	-1.2421675
KIAA1549	-1.2441357
SDC2	-1.2477819
NFKBIA	-1.2515622
MAML2	-1.2545902
LCK	-1.2583014
SIPA1L1	-1.2596282
SMARCC2	-1.2603346
CNOT1	-1.2617185
ACVR2B	-1.263044
FANCI	-1.2652614
CRTAP	-1.265913
BRIP1	-1.2693462
MAML3	-1.2700051
COL6A3	-1.2729429
NRIP1	-1.2769347
RPTOR	-1.2769978
NUP98	-1.2776875
KSR1	-1.2778579
MITF	-1.2796394
KAT2A	-1.279646
RBBP8	-1.2825326
NOP56	-1.2827797
CUL4B	-1.2827889
PHC2	-1.289771
CCNE1	-1.2900729
ARHGAP5	-1.2908622
GRB2	-1.2909203
WNT5B	-1.2909411
VHL	-1.2916132
GRM1	-1.2916667
RAPGEF1	-1.294052
MAP3K1	-1.2996511
ZFYVE16	-1.3008587
DMD	-1.3018816
SYMPK	-1.3051881
DVL3	-1.306717
RAD21	-1.307983
IQGAP1	-1.3084742
ITGA1	-1.3097788
IRS2	-1.3104855
ITGB3	-1.3104957
IL6R	-1.3109993
ARHGAP35	-1.3136997
IL3RA	-1.3137841
ITGB2	-1.3144566
GAB2	-1.3144684
PRKAG1	-1.3165493
PLXNA1	-1.3232026
TGFB2	-1.324561
MED23	-1.326878
CAMK2D	-1.3288753
FASLG	-1.3333201
DNAH2	-1.3334147
NCOA6	-1.3356501
SHH	-1.3406073
NTRK2	-1.3420213
MUC4	-1.3427473
FGA	-1.3441128
CDKN2A	-1.3480396
HDAC2	-1.3484665
E2F3	-1.3490139
REL	-1.3512949
POM121	-1.3520113
MMP14	-1.3538102
WASL	-1.3547258
EED	-1.3554121
PRKG2	-1.356134
KL	-1.3561805
ADCY6	-1.361103
ACTN2	-1.3626677
EPS15	-1.363897
PRKG1	-1.3642343
NRXN3	-1.3646051
CUL1	-1.3658915
EZH2	-1.3691444
CUX1	-1.369744
COL4A3	-1.3709863
CCNE2	-1.37232
PPP3CA	-1.374133
PXN	-1.3750839
TXNIP	-1.3759364
BMPR1B	-1.3803271
PCDHB16	-1.3843031
MYH8	-1.3846704
OGT	-1.3854133
POLR1A	-1.3862075
FGF10	-1.3873478
ZFP36L1	-1.3875036
PPP2R1B	-1.3931932
NANOG	-1.3933293
EIF5	-1.3947312
GRIA4	-1.399022
VAV2	-1.399282
GPC5	-1.3993553
LRP8	-1.4009242
CSF2RA	-1.4012903
RMI2	-1.4025415
CD28	-1.4032282
FGFR4	-1.4044452
CLTC	-1.4054989
MS4A2	-1.4069071
CACNB1	-1.4079741
NEB	-1.4080197
CD79A	-1.408033
HSP90B1	-1.4098734
PCDHA9	-1.4104911
MYB	-1.411843
MAP3K4	-1.4122776
FAM20A	-1.4124037
B2M	-1.414352
SPRED1	-1.417242
CLOCK	-1.4193279
MYO1C	-1.4210318
CLTA	-1.4212546
MYH11	-1.4212604
PRICKLE1	-1.4221324
IKBKG	-1.4228929
CCNA2	-1.4242085
TSC1	-1.4244304
TNC	-1.4254842
SDC4	-1.4267659
HIF3A	-1.4329983
RUNX3	-1.4345936
ACVR1B	-1.4358784
CEP290	-1.4362326
TLR7	-1.4363598
PRKCG	-1.438654
DNMT1	-1.4402319
TNKS	-1.4404815
PLCE1	-1.44114
LIG3	-1.441311
FNIP2	-1.4416794
ITGA2B	-1.4426417
GPSM3	-1.4428978
SFRP4	-1.4470128
CEP250	-1.4480735
MAPK6	-1.4501587
INTS2	-1.4525971
PPP6R3	-1.4529291
PIAS1	-1.4538037
BIRC2	-1.4543929
SREBF2	-1.4564415
UBC	-1.4573816
KLB	-1.4577824
AP2M1	-1.4609784
BIRC5	-1.4628509
CDK6	-1.4653815
SYNJ1	-1.4677016
SMAD1	-1.4691095
CD4	-1.4696525
TRAF3	-1.4701042
FOSB	-1.4730034
MAP2K1	-1.4731289
DLG4	-1.4736214
FZD6	-1.4753703
CCNB1	-1.4759321
ITK	-1.4765067
MSH6	-1.4766859
GDI1	-1.4781808
IL1RL1	-1.4782959
MYH6	-1.4828752
CDC27	-1.4836574
AHCTF1	-1.486396
DOCK1	-1.4901671
NTRK3	-1.4916134
PAXIP1	-1.4922572
UTP20	-1.4927131
NACA	-1.4952956
CACNA1A	-1.4958582
PTPN6	-1.4962174
BCAR1	-1.4963412
DOCK7	-1.496634
ILK	-1.4967299
PDGFB	-1.4973348
KSR2	-1.4993954
EHMT2	-1.5022787
TOPBP1	-1.5024463
SPTBN1	-1.5028204
VLDLR	-1.503465
UBE2I	-1.5040655
SV2A	-1.5052999
GZMB	-1.505962
XRCC6	-1.5104822
GNAQ	-1.5106174
CCND2	-1.5116428
EPHB4	-1.5120306
TNFAIP3	-1.5128031
RAD51	-1.5131788
HDAC4	-1.5138711
CYP2C9	-1.5141506
STAT5B	-1.5161266
PTPN13	-1.5173453
NUP188	-1.517704
RPS3A	-1.5194451
NBN	-1.5201575
DLG1	-1.5239042
ARNT	-1.5274137
CTSG	-1.5284592
RHOC	-1.5300287
GRM5	-1.530033
EPHA3	-1.5300905
WNT2B	-1.5312423
STX1A	-1.5322379
NGF	-1.5392326
BACE1	-1.5398302
CDK5R1	-1.5404544
PRNP	-1.5407959
VDR	-1.54459
GNAI3	-1.545046
S1PR1	-1.545832
DNAH3	-1.546064
CUL7	-1.5494224
RPS6KA1	-1.5505867
POLD1	-1.5506107
TG	-1.5509754
BCL2L1	-1.5515848
NFATC3	-1.5534235
IL1RAP	-1.55439
FBXL7	-1.5552654
ZNF318	-1.5560962
TIMELESS	-1.5567137
SPP1	-1.557557
LAT	-1.5595955
RAD50	-1.5602694
ANGPT1	-1.5621322
ORC1	-1.5642914
CACNA2D1	-1.5643114
HDAC6	-1.5645828
SMO	-1.5655037
CELSR2	-1.5675219
JAG1	-1.5677285
GNB4	-1.572298
SIN3B	-1.5725745
CDK4	-1.5730234
NOL6	-1.5731245
DKK1	-1.5734326
RACGAP1	-1.5736879
SBF1	-1.5738248
GCK	-1.5740482
DCTN1	-1.5749003
CXCR4	-1.5764389
WAS	-1.577748
CSNK1D	-1.5780702
PTPN11	-1.5784088
LAMC1	-1.5786285
WNT5A	-1.5793432
RYR1	-1.58074
PRKACA	-1.5808235
BUB1B	-1.5810251
MUC13	-1.5826582
SREBF1	-1.5828785
CFH	-1.5833402
TFRC	-1.5887032
ITGB4	-1.5932935
TRPM7	-1.5934753
SOX2	-1.5977335
ATF4	-1.5979363
HLA-DRB5	-1.5979518
BACE2	-1.5986629
MYO9A	-1.6025171
FOXO3	-1.6025944
EEF1A1	-1.6027082
BCL10	-1.6038607
EPHB6	-1.6068064
RICTOR	-1.6069441
RAI1	-1.6071724
RALGAPA2	-1.6074286
CYFIP2	-1.6097561
MMP2	-1.6103014
HOXA1	-1.612525
NUP107	-1.6127208
GRIA1	-1.6145792
PPP2R5D	-1.6146992
ADAM17	-1.6147661
CDC6	-1.615105
PCDHB6	-1.6163898
GNG12	-1.6170582
RELN	-1.6177136
HLA-DQA2	-1.6187655
PHKA2	-1.6196829
MCM7	-1.6204294
TGFB1	-1.6204602
PRKD3	-1.6208228
FASN	-1.6222855
GSN	-1.6223668
PTGER4	-1.6226505
PRKD2	-1.6227175
GNG13	-1.6231645
RAC1	-1.6241093
CDC25A	-1.6264108
IRAK3	-1.6271467
NF2	-1.6271623
SMARCA5	-1.627184
HOXB3	-1.6278759
FOSL1	-1.6308165
CAV1	-1.6323031
CFTR	-1.6330475
GNB3	-1.6336731
ATP1A1	-1.6339912
DLL4	-1.6340128
ITGA3	-1.6342258
CDKN1B	-1.6358646
UBE2D1	-1.6375252
IL12A	-1.6383514
ADAM10	-1.6392384
PPP2R5B	-1.6396527
PRMT5	-1.6412445
THBS2	-1.6433854
C5	-1.6441059
MAP4K4	-1.6458708
BRWD1	-1.6467118
MIB1	-1.6491667
NR1D1	-1.6497612
DDX20	-1.6503487
FANCG	-1.6519089
CSF2RB	-1.6519295
LEPR	-1.6529175
TGOLN2	-1.6532751
MUC20	-1.6569146
GFRA1	-1.6574615
TAB1	-1.6582998
POMC	-1.6588684
RIMS2	-1.6591202
MYL4	-1.6598945
TICAM1	-1.6625
PTPRC	-1.6632763
RPS6KA5	-1.6639242
MYD88	-1.66466
ERC1	-1.6651512
ELL2	-1.6708908
GRK4	-1.6709652
GRK7	-1.6750203
TNFRSF1A	-1.6752692
PIK3C2A	-1.6758903
PREX1	-1.6769428
PKN2	-1.6787127
TLR5	-1.6788162
FMOD	-1.6795586
VCAN	-1.6802673
GNAL	-1.6804436
EDN1	-1.6827898
ITGAL	-1.6843857
PDK1	-1.6851076
EREG	-1.6861428
IGF2	-1.6864773
APAF1	-1.687026
ACTA2	-1.6871395
CAMK2G	-1.6879392
HSPA1B	-1.6883084
OTOG	-1.6898584
WNT3A	-1.689908
MAVS	-1.6900476
DYNC1I1	-1.6909122
POLA1	-1.6916555
KDM3B	-1.6926836
KAT5	-1.6935558
RLIM	-1.6954098
PSIP1	-1.6965061
PLCB2	-1.6976867
SPRY2	-1.6980122
PTCH1	-1.7001232
MPL	-1.7002898
PCLO	-1.7003584
IFNG	-1.7005739
PRKAB2	-1.7009493
SEL1L	-1.701726
FLT3	-1.7019409
EPHA4	-1.7030144
LSP1	-1.7041038
RHOQ	-1.7045308
SPTA1	-1.7048229
PTPRB	-1.7049866
SDC1	-1.7055098
FGF20	-1.7058598
CELSR3	-1.7070631
BAZ1B	-1.7094532
PBX1	-1.7097734
FGR	-1.7110466
ITGAM	-1.7139462
SYNGAP1	-1.7149277
WNT10B	-1.7154099
AGRN	-1.7160858
POU4F1	-1.7169966
RAPGEF6	-1.7174131
RGMA	-1.7179343
CASP1	-1.7180852
ACIN1	-1.7193273
AHR	-1.7228371
CD79B	-1.7233677
PCNA	-1.723503
MYO15A	-1.7244124
MAP2	-1.7247869
GAPVD1	-1.7262965
GRK6	-1.7275587
LSAMP	-1.7278762
ATXN1	-1.7284867
GRM4	-1.7316321
BCL9	-1.7324308
TBP	-1.7326965
GPSM1	-1.7335347
TLR9	-1.7335587
MAP1B	-1.7336655
AP2A1	-1.734188
CTNNA2	-1.7348042
TBX3	-1.7348684
ABL2	-1.7357308
GABARAPL1	-1.7359352
WWTR1	-1.7364026
PTGS2	-1.7364358
AMBRA1	-1.7365203
UBR2	-1.7366587
FCGR1A	-1.7378715
CDK7	-1.7383022
BMP2	-1.7385808
CSNK2A1	-1.7392985
SMC2	-1.7401953
SETD1B	-1.7404574
ABCB1	-1.7421646
SUPT16H	-1.7425419
GDNF	-1.7433696
CRKL	-1.7445637
MAML1	-1.744977
PPP3CB	-1.7450217
CASP2	-1.7452317
FRAS1	-1.7465166
CACNB2	-1.7473055
PRKAG2	-1.748198
CDK5RAP2	-1.7483698
WWP1	-1.7493981
CSK	-1.750605
HDAC3	-1.7508807
RYR3	-1.7513018
BLK	-1.7520975
MED14	-1.7526692
SOD1	-1.7532393
SEMA3A	-1.7533888
WNT7B	-1.7538061
CHD9	-1.754384
IL16	-1.7554475
TBXA2R	-1.7566983
GPR37	-1.7577358
PTPRJ	-1.758007
SLC8A1	-1.7591249
ISG15	-1.7597071
CEP135	-1.7598189
HIPK2	-1.7608796
GATA1	-1.7612801
ROBO1	-1.761653
SKP2	-1.7628406
NUP85	-1.7628547
TCF7L1	-1.7630919
OBSCN	-1.7648293
ASIC4	-1.7650198
DNAH11	-1.766385
CSF3	-1.7670708
AP1G1	-1.7672791
TRAPPC9	-1.770595
RRAS	-1.7715825
DIAPH2	-1.7717088
FES	-1.7726022
UPF3B	-1.7744585
KNTC1	-1.7750155
MYH7	-1.7750516
TNPO1	-1.7761345
CCL7	-1.7762271
DNM1	-1.7763081
EXOC4	-1.7777257
CD40LG	-1.7777305
GNAO1	-1.7780634
ARRB2	-1.7784215
ELAVL1	-1.7790784
RNF31	-1.7797856
EGR2	-1.7806091
DCN	-1.781936
SDC3	-1.7823157
HLA-B	-1.7831497
PLXNB1	-1.783342
GMIP	-1.783616
RNF216	-1.7841214
TEP1	-1.7848231
NUP153	-1.7848543
MTA1	-1.7851267
MYH10	-1.7852306
GPS1	-1.7857436
POLD2	-1.7862438
DNAH9	-1.7880689
PSME4	-1.7881365
SEC24B	-1.7886066
XRN1	-1.7886753
FRS2	-1.7888356
POT1	-1.789301
PLXNA2	-1.7904257
CD44	-1.7925569
VAMP2	-1.7925959
DNMT3B	-1.7931105
SRRM2	-1.79352
ELMO1	-1.7942175
MUC6	-1.7944719
DCTN4	-1.7961878
BMPR1A	-1.7964691
PDE3A	-1.7974825
CBX2	-1.7988681
LRRK2	-1.7992519
LPAR1	-1.7993884
TBL1X	-1.8000332
CHEK2	-1.8005215
PLAUR	-1.8006214
TNFRSF10B	-1.8014272
LPL	-1.8043671
RAD9A	-1.8059875
TNKS2	-1.8079001
CENPM	-1.8090392
GNA11	-1.8098482
CCNA1	-1.8102771
IL1R1	-1.8104515
CDK5	-1.8106813
TJP1	-1.8115638
CARM1	-1.8117613
SRRM1	-1.8130506
AAK1	-1.8149686
INPPL1	-1.8155686
HTR1D	-1.8157214
PTK6	-1.8164047
AGO2	-1.8181599
FURIN	-1.819373
TRIO	-1.8209502
ATXN3	-1.8213111
LIG1	-1.8218435
SSTR3	-1.8220944
LDLR	-1.8221684
EDC4	-1.8222634
FLNA	-1.8223748
INS	-1.8223795
IL2RB	-1.8224479
SF3B1	-1.8228359
KITLG	-1.8242064
CUL5	-1.8246018
ADCY5	-1.8248953
PARD3	-1.8257017
IL1B	-1.8259826
ERCC3	-1.8271345
FZD4	-1.8273336
LTBP1	-1.827919
TLE3	-1.8280519
INTS8	-1.8297678
CDC25C	-1.8302921
LY96	-1.8317362
ANAPC1	-1.831927
PLAU	-1.8336306
CEP192	-1.8345919
PPM1D	-1.8355678
XIAP	-1.8363651
ASPH	-1.8373919
CREB3L3	-1.837825
PCBP1	-1.8379391
TRIM28	-1.8380588
CDH5	-1.8381275
RBPJL	-1.8384838
PLXNA4	-1.8389925
COL9A2	-1.8394295
C4BPA	-1.8404704
BCAN	-1.8406005
CAPN1	-1.8412088
L1CAM	-1.84135
NOP14	-1.8414621
GRIN2B	-1.8421965
MMP3	-1.8424045
GNGT1	-1.8437477
PCK1	-1.8438563
LRPPRC	-1.8446563
MMP1	-1.8452873
HEYL	-1.8455172
AMPH	-1.8479046
CYP2C8	-1.849666
ITGA4	-1.8498331
MYO6	-1.8506947
SQSTM1	-1.8507167
UBE2N	-1.8516226
POU2F1	-1.853279
MEF2D	-1.8541374
LMNB1	-1.8550073
DYNC2H1	-1.8552517
MEN1	-1.8552614
RPS6KA3	-1.8569756
DENND4A	-1.8573624
CTNND2	-1.8574089
TAF15	-1.8587927
GRIN2D	-1.8592211
HGS	-1.8595562
CXCL12	-1.8600899
MAP2K6	-1.8604083
CAPZA2	-1.86098
SBF2	-1.8614883
NUP37	-1.8635594
SCN1A	-1.8639656
STAT5A	-1.8642396
PROC	-1.8650765
GPS2	-1.8652393
MYH14	-1.8657166
SYCP2	-1.8668798
STK3	-1.8670655
CACNA1F	-1.8670758
LAMC2	-1.867741
TLE1	-1.8691586
CBLB	-1.871932
TGS1	-1.872241
NKD1	-1.8725328
IFNLR1	-1.8725475
FOXA1	-1.8733813
HLA-DPA1	-1.8734889
EPHB3	-1.8735973
PAPPA	-1.8736402
ETS1	-1.8738884
CD247	-1.8743016
LPP	-1.8746414
PRKAA1	-1.8755671
DDB1	-1.8760056
NGEF	-1.8764843
BRD8	-1.8773131
AKAP13	-1.8773961
FGF9	-1.8777617
ITGA11	-1.8784552
ACAN	-1.8791666
FBN1	-1.8801028
CASP7	-1.8813273
TCF3	-1.8814989
KMT2E	-1.8821512
WNT2	-1.882557
TAB2	-1.8831873
TFDP2	-1.8850088
IL33	-1.8850795
MARK2	-1.8855928
MAP3K5	-1.8873276
APBB1IP	-1.8886151
HELZ2	-1.8904365
HMGA2	-1.8911988
ASH2L	-1.8921713
INTS3	-1.8923087
SESN2	-1.8936485
AP1B1	-1.894475
NFIB	-1.8947288
DNM3	-1.8950925
MMP7	-1.8959255
HNRNPA1	-1.8969318
SALL4	-1.8984962
NEGR1	-1.8987404
COL4A6	-1.9001082
CARD11	-1.9012614
HEY1	-1.9018687
DYNC1LI1	-1.9020538
GHRL	-1.9023738
NDUFS1	-1.9028064
MAP3K3	-1.9030457
YWHAG	-1.9033762
TBCD	-1.9040731
NUP62	-1.9041839
LMNB2	-1.9043603
SERPINE2	-1.9046537
TNKS1BP1	-1.9054174
IRF7	-1.9055976
COL6A2	-1.9056801
PABPC1	-1.9083823
RMI1	-1.9084231
A1CF	-1.9093922
IL5RA	-1.9102439
RTEL1	-1.910612
STAT6	-1.9109144
BCL6	-1.9119145
PPP2R2B	-1.912147
SMG7	-1.9137316
ZNF607	-1.9139792
PAN3	-1.9152867
PCDH18	-1.9158936
RNF111	-1.9162222
PIP4K2C	-1.9164605
PPP2R1A	-1.9166403
TUBA1A	-1.9173832
MRAS	-1.9183103
POLE2	-1.9192454
RAPGEF4	-1.921101
GTSE1	-1.9212365
ULK1	-1.9216019
FLCN	-1.9216633
RASGRF2	-1.9223033
HDAC5	-1.9227943
WDR33	-1.9246184
E2F2	-1.9247875
PLXNA3	-1.9247988
IKBKE	-1.9250231
TLL1	-1.9253993
TLR2	-1.9255728
TIAM1	-1.9257199
ANK2	-1.9259721
PPP2CA	-1.9261504
DNAH7	-1.9270148
REST	-1.9280177
CHRM1	-1.9300028
CASP9	-1.9302357
IQGAP2	-1.9303719
PTTG1	-1.9311342
A2M	-1.9312593
ITGA9	-1.9317452
CHD3	-1.9331077
MMP16	-1.9331399
